id;nome;id_perfil;id_uf;cpf_cnpj;ic_ativo
1;Buckinghamshire Internal;87291;88271;multimedia;false
2;Cheese Guyana Dollar Steel;59669;62963;primary Fish maroon;true
3;Papua New Guinea system South Dakota;85859;33196;Somoni redundant;false
4;COM Rustic Handmade;51180;48631;user-centric;true
5;Intelligent;90557;49565;program solid state;true
6;deposit Solutions;45783;73818;Facilitator proactive Balboa US Dollar;false
7;morph;57446;79398;real-time empower;false
8;teal Legacy Bedfordshire;28101;53791;secured line;false
9;Credit Card Account Corporate;9611;94266;Directives;false
10;motivating Auto Loan Account radical;3758;50507;Bike;false
